edition,country_noc,gold,silver,bronze,total
1908 Summer Olympics,ANZ,1,2,2,5
1912 Summer Olympics,ANZ,2,2,3,7
1900 Summer Olympics,BOH,0,1,2,3
1908 Summer Olympics,BOH,0,0,2,2
1912 Summer Olympics,BOH,0,0,0,0
1988 Summer Olympics,ARU,0,0,0,0
1992 Summer Olympics,ARU,0,0,0,0
1996 Summer Olympics,ARU,0,0,0,0
2000 Summer Olympics,ARU,0,0,0,0
2004 Summer Olympics,ARU,0,0,0,0
2008 Summer Olympics,ARU,0,0,0,0
2012 Summer Olympics,ARU,0,0,0,0
2016 Summer Olympics,ARU,0,0,0,0
2020 Summer Olympics,ARU,0,0,0,0
1984 Summer Olympics,BHU,0,0,0,0
1988 Summer Olympics,BHU,0,0,0,0
1992 Summer Olympics,BHU,0,0,0,0
1996 Summer Olympics,BHU,0,0,0,0
2000 Summer Olympics,BHU,0,0,0,0
2004 Summer Olympics,BHU,0,0,0,0
2008 Summer Olympics,BHU,0,0,0,0
2012 Summer Olympics,BHU,0,0,0,0
2016 Summer Olympics,BHU,0,0,0,0
2020 Summer Olympics,BHU,0,0,0,0
1984 Summer Olympics,BAN,0,0,0,0
1988 Summer Olympics,BAN,0,0,0,0
1992 Summer Olympics,BAN,0,0,0,0
1996 Summer Olympics,BAN,0,0,0,0
2000 Summer Olympics,BAN,0,0,0,0
2004 Summer Olympics,BAN,0,0,0,0
2008 Summer Olympics,BAN,0,0,0,0
2012 Summer Olympics,BAN,0,0,0,0
2016 Summer Olympics,BAN,0,0,0,0
2020 Summer Olympics,BAN,0,0,0,0
1988 Summer Olympics,ASA,0,0,0,0
1992 Summer Olympics,ASA,0,0,0,0
1994 Winter Olympics,ASA,0,0,0,0
1996 Summer Olympics,ASA,0,0,0,0
2000 Summer Olympics,ASA,0,0,0,0
2004 Summer Olympics,ASA,0,0,0,0
2008 Summer Olympics,ASA,0,0,0,0
2012 Summer Olympics,ASA,0,0,0,0
