edition,edition_id,edition_url,season,year,city,country_flag_url,country_noc,start_date,end_date,isHeld,competition_start_date,competition_end_date
1896 Summer Olympics,1,/editions/1,Summer,1896,Athina,/images/flags/GRE.png,GRE,1896-04-06,1896-04-15,na,1896-04-06,1896-04-13
1900 Summer Olympics,2,/editions/2,Summer,1900,Paris,/images/flags/FRA.png,FRA,na,na,na,1900-05-14,1900-10-28
1904 Summer Olympics,3,/editions/3,Summer,1904,St. Louis,/images/flags/USA.png,USA,1904-05-14,na,na,1904-07-01,1904-11-23
1908 Summer Olympics,5,/editions/5,Summer,1908,London,/images/flags/GBR.png,GBR,1908-07-13,na,na,1908-04-27,1908-10-31
1912 Summer Olympics,6,/editions/6,Summer,1912,Stockholm,/images/flags/SWE.png,SWE,1912-07-06,1912-07-27,na,1912-05-05,1912-07-27
1916 Summer Olympics,50,/editions/50,Summer,1916,Berlin,/images/flags/GER.png,GER,na,na,Not held due to war,na,na
1920 Summer Olympics,7,/editions/7,Summer,1920,Antwerpen,/images/flags/BEL.png,BEL,1920-08-14,1920-08-30,na,1920-04-23,1920-09-12
1924 Summer Olympics,8,/editions/8,Summer,1924,Paris,/images/flags/FRA.png,FRA,1924-07-05,1924-07-27,na,1924-05-04,1924-07-27
1928 Summer Olympics,9,/editions/9,Summer,1928,Amsterdam,/images/flags/NED.png,NED,1928-07-28,1928-08-12,na,1928-05-17,1928-08-12
1932 Summer Olympics,10,/editions/10,Summer,1932,Los Angeles,/images/flags/USA.png,USA,1932-07-30,1932-08-14,na,1932-07-30,1932-08-14
1936 Summer Olympics,11,/editions/11,Summer,1936,Berlin,/images/flags/GER.png,GER,1936-08-01,1936-08-16,na,1936-08-02,1936-08-16
1940 Summer Olympics,51,/editions/51,Summer,1940,Helsinki,/images/flags/FIN.png,FIN,na,na,Not held due to war,na,na
1944 Summer Olympics,52,/editions/52,Summer,1944,London,/images/flags/GBR.png,GBR,na,na,Not held due to war,na,na
1948 Summer Olympics,12,/editions/12,Summer,1948,London,/images/flags/GBR.png,GBR,1948-07-29,1948-08-14,na,1948-07-26,1948-08-14
1952 Summer Olympics,13,/editions/13,Summer,1952,Helsinki,/images/flags/FIN.png,FIN,1952-07-19,1952-08-03,na,1952-07-14,1952-08-03
1956 Summer Olympics,14,/editions/14,Summer,1956,Melbourne,/images/flags/AUS.png,AUS,1956-11-22,1956-12-08,na,1956-11-22,1956-12-08
1960 Summer Olympics,15,/editions/15,Summer,1960,Roma,/images/flags/ITA.png,ITA,1960-08-25,1960-09-11,na,1960-08-25,1960-09-11
1964 Summer Olympics,16,/editions/16,Summer,1964,Tokyo,/images/flags/JPN.png,JPN,1964-10-10,1964-10-24,na,1964-10-11,1964-10-24
1968 Summer Olympics,17,/editions/17,Summer,1968,Ciudad de México,/images/flags/MEX.png,MEX,1968-10-12,1968-10-27,na,1968-10-12,1968-10-27
1972 Summer Olympics,18,/editions/18,Summer,1972,München,/images/flags/FRG.png,FRG,1972-08-26,1972-09-11,na,1972-08-26,1972-09-11
1976 Summer Olympics,19,/editions/19,Summer,1976,Montréal,/images/flags/CAN.png,CAN,1976-07-17,1976-08-01,na,1976-07-18,1976-08-01
1980 Summer Olympics,20,/editions/20,Summer,1980,Moskva,/images/flags/URS.png,URS,1980-07-19,1980-08-03,na,1980-07-20,1980-08-03
1984 Summer Olympics,21,/editions/21,Summer,1984,Los Angeles,/images/flags/USA.png,USA,1984-07-28,1984-08-12,na,1984-07-06,1984-08-12
1988 Summer Olympics,22,/editions/22,Summer,1988,Seoul,/images/flags/KOR.png,KOR,1988-09-17,1988-10-02,na,1988-09-17,1988-10-02
1992 Summer Olympics,23,/editions/23,Summer,1992,Barcelona,/images/flags/ESP.png,ESP,1992-07-25,1992-08-09,na,1992-07-24,1992-08-09
1996 Summer Olympics,24,/editions/24,Summer,1996,Atlanta,/images/flags/USA.png,USA,1996-07-19,1996-08-04,na,1996-07-20,1996-08-04
2000 Summer Olympics,25,/editions/25,Summer,2000,Sydney,/images/flags/AUS.png,AUS,2000-09-15,2000-10-01,na,2000-09-13,2000-10-01
2004 Summer Olympics,26,/editions/26,Summer,2004,Athina,/images/flags/GRE.png,GRE,2004-08-13,2004-08-29,na,2004-08-11,2004-08-29
2008 Summer Olympics,53,/editions/53,Summer,2008,Beijing,/images/flags/CHN.png,CHN,2008-08-08,2008-08-24,na,2008-08-06,2008-08-24
2012 Summer Olympics,54,/editions/54,Summer,2012,London,/images/flags/GBR.png,GBR,2012-07-27,2012-08-12,na,2012-07-25,2012-08-12
2016 Summer Olympics,59,/editions/59,Summer,2016,Rio de Janeiro,/images/flags/BRA.png,BRA,2016-08-05,2016-08-21,na,2016-08-03,2016-08-21
2020 Summer Olympics,61,/editions/61,Summer,2020,Tokyo,/images/flags/JPN.png,JPN,2021-07-23,2021-07-23,na,na,na
2024 Summer Olympics,63,/editions/63,Summer,2024,Paris,/images/flags/FRA.png,FRA,na,na,na,na,na
2028 Summer Olympics,64,/editions/64,Summer,2028,Los Angeles,/images/flags/USA.png,USA,na,na,na,na,na
2032 Summer Olympics,372,/editions/372,Summer,2032,Brisbane,/images/flags/AUS.png,AUS,na,na,na,na,na
1924 Winter Olympics,29,/editions/29,Winter,1924,Chamonix,/images/flags/FRA.png,FRA,1924-01-24,1924-02-05,na,1924-01-26,1924-02-04
1928 Winter Olympics,30,/editions/30,Winter,1928,Sankt Moritz,/images/flags/SUI.png,SUI,1928-02-11,1928-02-17,na,1928-02-11,1928-02-19
1932 Winter Olympics,31,/editions/31,Winter,1932,Lake Placid,/images/flags/USA.png,USA,1932-02-04,1932-02-13,na,1932-02-04,1932-02-15
1936 Winter Olympics,32,/editions/32,Winter,1936,Garmisch-Partenkirchen,/images/flags/GER.png,GER,1936-02-06,1936-02-16,na,1936-02-06,1936-02-16
1940 Winter Olympics,55,/editions/55,Winter,1940,Garmisch-Partenkirchen,/images/flags/GER.png,GER,na,na,Not held due to war,na,na
1944 Winter Olympics,56,/editions/56,Winter,1944,Cortina d'Ampezzo,/images/flags/ITA.png,ITA,na,na,Not held due to war,na,na
1948 Winter Olympics,33,/editions/33,Winter,1948,Sankt Moritz,/images/flags/SUI.png,SUI,1948-01-30,1948-02-08,na,1948-01-30,1948-02-08
1952 Winter Olympics,34,/editions/34,Winter,1952,Oslo,/images/flags/NOR.png,NOR,1952-02-15,1952-02-25,na,1952-02-14,1952-02-25
1956 Winter Olympics,35,/editions/35,Winter,1956,Cortina d'Ampezzo,/images/flags/ITA.png,ITA,1956-01-26,1956-02-05,na,1956-01-26,1956-02-05
1960 Winter Olympics,36,/editions/36,Winter,1960,Squaw Valley,/images/flags/USA.png,USA,1960-02-18,1960-02-28,na,1960-02-19,1960-02-28
1964 Winter Olympics,37,/editions/37,Winter,1964,Innsbruck,/images/flags/AUT.png,AUT,1964-01-29,1964-02-09,na,1964-01-27,1964-02-09
1968 Winter Olympics,38,/editions/38,Winter,1968,Grenoble,/images/flags/FRA.png,FRA,1968-02-06,1968-02-18,na,1968-02-04,1968-02-18
1972 Winter Olympics,39,/editions/39,Winter,1972,Sapporo,/images/flags/JPN.png,JPN,1972-02-03,1972-02-13,na,1972-02-03,1972-02-13
1976 Winter Olympics,40,/editions/40,Winter,1976,Innsbruck,/images/flags/AUT.png,AUT,1976-02-04,1976-02-15,na,1976-02-03,1976-02-15
1980 Winter Olympics,41,/editions/41,Winter,1980,Lake Placid,/images/flags/USA.png,USA,1980-02-13,1980-02-24,na,1980-02-12,1980-02-24
1984 Winter Olympics,42,/editions/42,Winter,1984,Sarajevo,/images/flags/YUG.png,YUG,1984-02-08,1984-02-19,na,1984-02-07,1984-02-19
1988 Winter Olympics,43,/editions/43,Winter,1988,Calgary,/images/flags/CAN.png,CAN,1988-02-13,1988-02-28,na,1988-02-13,1988-02-28
1992 Winter Olympics,44,/editions/44,Winter,1992,Albertville,/images/flags/FRA.png,FRA,1992-02-08,1992-02-23,na,1992-02-08,1992-02-23
1994 Winter Olympics,45,/editions/45,Winter,1994,Lillehammer,/images/flags/NOR.png,NOR,1994-02-12,1994-02-27,na,1994-02-12,1994-02-27
1998 Winter Olympics,46,/editions/46,Winter,1998,Nagano,/images/flags/JPN.png,JPN,1998-02-07,1998-02-22,na,1998-02-07,1998-02-22
2002 Winter Olympics,47,/editions/47,Winter,2002,Salt Lake City,/images/flags/USA.png,USA,2002-02-08,2002-02-24,na,2002-02-09,2002-02-24
2006 Winter Olympics,49,/editions/49,Winter,2006,Torino,/images/flags/ITA.png,ITA,2006-02-10,2006-02-26,na,2006-02-11,2006-02-26
2010 Winter Olympics,57,/editions/57,Winter,2010,Vancouver,/images/flags/CAN.png,CAN,2010-02-12,2010-02-28,na,2010-02-12,2010-02-28
2014 Winter Olympics,58,/editions/58,Winter,2014,Sochi,/images/flags/RUS.png,RUS,2014-02-07,2014-02-23,na,2014-02-06,2014-02-23
2018 Winter Olympics,60,/editions/60,Winter,2018,PyeongChang,/images/flags/KOR.png,KOR,2018-02-09,2018-02-25,na,2018-02-08,2018-02-25
2022 Winter Olympics,62,/editions/62,Winter,2022,Beijing,/images/flags/CHN.png,CHN,2022-02-04,2022-02-20,na,2022-02-02,2022-02-20
2026 Winter Olympics,72,/editions/72,Winter,2026,Milano-Cortina d'Ampezzo,/images/flags/ITA.png,ITA,na,na,na,na,na
